id,id.1,relationship
Christopher A,Isrias A,Sibling
Christopher A,Penny B,Sibling
Christopher A,Priscilla A,Child
Christopher A,Savary A,Sibling
Christopher A,Sophia A,Sibling
Christopher B,Alce C,Child
Christopher B,Charles Freeman,Child
Christopher B,Emery A,Sibling
Christopher B,Henriette A,Sibling
Christopher B,Judy B,Sibling
Christopher B,NA1,Spouse
Christopher B,Tom B,Sibling
Christopher B,Viner A,Sibling
Crager A,Ben E,Child
Crager A,Fendel A,Sibling
Crager A,Peg C,Child
Crager A,Peg D,Sibling
Cynthia A,Daniel C,Sibling
Cynthia A,Suckey C,Child
Cyrus A,Lucy D,Spouse
Cyrus A,Sall A,Child
Daniel B,Anna A,Child
Daniel B,Sandy A,Sibling
Daniel C,Suckey C,Child
Daniel D,Delia B,Child
Daniel D,Jack F,Sibling
Daniel D,Julia A,Sibling
Daniel D,Nelly A,Sibling
Daphne A,Charles A,Child
Daphne A,Fanny A,Child
Daphne A,Jamie A,Sibling
Daphne B,Simms A,Spouse
Daphne E,Daphne C,Child
Daphne E,Hannah C,Sibling
Daphne E,Joe A,Sibling
Daphne E,Lucy D,Sibling
Daphne E,Moses B,Sibling
Darcus A,James A,Spouse
Darcus B,Diana A,Sibling
Darcus B,Forrester A,Sibling
Darcus B,Letty B,Sibling
Darcus B,Lucy B,Sibling
Darcus B,Nathan A,Child
Darcus B,Peg A,Child
Davy A,Edy A,Spouse
Davy B,Molly C,Spouse
Davy C,Alce E,Sibling
Davy C,Cornelia A,Child
Davy C,Lewis A,Sibling
Davy C,Paschall A,Child
Davy D,Eneas A,Sibling
Davy D,Ephraim A,Sibling
Davy D,Guss A,Sibling
Davy D,Rachel B,Child
Davy E,Grace C,Spouse
Delia A,Alce F,Child
Delia A,Eve A,Sibling
Delia A,Richmond A,Sibling
Delphy A,Betty Davis,Child
Delphy A,Dick A,Child
Delphy A,Lucinda A,Sibling
Delphy A,Nancy D,Sibling
Delphy A,Oney A,Sibling
Delphy A,Oney B,Sibling
Dennis A,Dolshy A,Child
Dennis A,Joe A,
Dennis A,Suckey A,Sibling
Dennis B,Elijah A,Sibling
Dennis B,Gutridge A,Sibling
Dennis B,Henry A,Sibling
Dennis B,Polly D,Sibling
Dennis B,Sall Brass,Child
Diana A,Forrester A,Sibling
Diana A,Letty B,Sibling
Diana A,Lucy B,Sibling
Diana A,Nathan A,Child
Diana A,Peg A,Child
Diana B,Milly B,Child
Dick C,Charity B,Child
Dick C,Dick B,Child
Dick C,Elly A,Sibling
Dick C,Fomison A,Sibling
Dick C,Hannah F,Sibling
Dick C,Sarah C,Sibling
Doll C,Natt B,Spouse
Doll D,Doll C,Child
Doll D,Jack A,Sibling
Doll D,Jack J,Sibling
Doll D,Natt B,Child
Doll D,Natt C,Sibling
Doll D,Peter D,Sibling
Dolshy A,Joe A,Spouse
Dundee A,NA2,Spouse
Edmund A,Lucy C,Child
Edmund A,Mike A,Sibling
Edmund A,Patty A,Sibling
Edmund A,Philip A,Sibling
Elias A,Doll B,Child
Elias A,Elizabeth A,Sibling
Elias A,Milly B,Sibling
Elias A,Patience A,Sibling
Elias A,Patt A,Sibling
Elias A,Suckey E,Sibling
Elias A,Sylvia B,Sibling
Elijah A,Gutridge A,Sibling
Elijah A,Henry A,Sibling
Elijah A,Polly D,Sibling
Elijah A,Sall Brass,Child
Eliza A,Charlotte A,Child
Eliza A,Elvey A,Sibling
Eliza A,Jenny A,Sibling
Eliza A,Timothy A,Sibling
Elizabeth A,Doll B,Child
Elizabeth A,Milly B,Sibling
Elizabeth A,Patience A,Sibling
Elizabeth A,Patt A,Sibling
Elizabeth A,Suckey E,Sibling
Elizabeth A,Sylvia B,Sibling
Elly A,Charity B,Child
Elly A,Dick B,Child
Elly A,Fomison A,Sibling
Elly A,Hannah F,Sibling
Elly A,Sarah C,Sibling
Elvey A,Charlotte A,Child
Elvey A,Jenny A,Sibling
Elvey A,Timothy A,Sibling
Emery A,Alce C,Child
Emery A,Charles Freeman,Child
Emery A,Henriette A,Sibling
Emery A,Judy B,Sibling
Emery A,Tom B,Sibling
Emery A,Viner A,Sibling
Eneas A,Ephraim A,Sibling
Eneas A,Guss A,Sibling
Eneas A,Rachel B,Child
Ephraim A,Guss A,Sibling
Ephraim A,Rachel B,Child
Esther A,Johnny A,Spouse
Eve A,Alce F,Child
Eve A,Richmond A,Sibling
Fanny B,NA3,Spouse
Felicia A,Hellam A,Sibling
Felicia A,Jenny D,Child
Felicia A,Jonathan A,Sibling
Fendel A,Ben E,Child
Fendel A,Peg C,Child
Fendel A,Peg D,Sibling
Fomison A,Charity B,Child
Fomison A,Dick B,Child
Fomison A,Hannah F,Sibling
Fomison A,Sarah C,Sibling
Forrester A,Letty B,Sibling
Forrester A,Lucy B,Sibling
Forrester A,Nathan A,Child
Forrester A,Peg A,Child
Frank A,Lucy C,Spouse
Gabriel A,Judy C,Spouse
Gabriel B,Virgin A,Spouse
George A,Lydia A,Spouse
George B,Sall Twine,Spouse
George C,George B,Child
George C,Hannah A,Sibling
George C,Jesse B,Sibling
George C,Kate D,Sibling
George C,Lawrence B,Sibling
George C,Sall Twine,Child
George D,Alce B,Child
George D,Kate A,Sibling
George D,Sam A,Child
George E,Jenny D,Spouse
George F,Lucy H,Spouse
Gideon A,Betty A,Child
Gideon A,Godfrey A,Sibling
Gideon A,Hanson A,Sibling
Gideon A,John C,Sibling
Gideon A,Lucretia A,Sibling
Gideon A,Mary A,Sibling
Godfrey A,Betty A,Child
Godfrey A,Hanson A,Sibling
Godfrey A,John C,Sibling
Godfrey A,Lucretia A,Sibling
Godfrey A,Mary A,Sibling
Godfrey A,Mima A,Spouse
Grace A,Isaac A,Child
Grace A,Juba B,Spouse
Grace A,Kitty A,Child
Grace A,Letty A,Sibling
Grace A,Levina A,Sibling
Grace A,Lucy E,Sibling
Grace A,Mima A,Sibling
Grace A,Nancy E,Sibling
Grace A,Sinah A,Sibling
Grace B,Jack D,Spouse
Grace D,Isaac C,Sibling
Grace D,Rose B,Child
Gunner A,Judy A,Spouse
Guss A,Rachel B,Child
Gutridge A,Henry A,Sibling
Gutridge A,Polly D,Sibling
Gutridge A,Sall Brass,Child
Guy A,Agnes B,Child
Guy A,Will B,Child
Hagar A,Joe D,Sibling
Hagar A,Rose A,Child
Hagar A,Simon A,Sibling
Hagar A,Tom C,Sibling
Hannah A,George B,Child
Hannah A,Jesse B,Sibling
Hannah A,Kate D,Sibling
Hannah A,Lawrence B,Sibling
Hannah A,Sall Twine,Child
Hannah B,Ned B,Spouse
Hannah C,Daphne C,Child
Hannah C,Joe A,Sibling
Hannah C,Lucy D,Sibling
Hannah C,Moses B,Sibling
Hannah D,Morris A,Spouse
Hannah F,Charity B,Child
Hannah F,Dick B,Child
Hannah F,Sarah C,Sibling
Hanson A,Betty A,Child
Hanson A,John C,Sibling
Hanson A,Lucretia A,Sibling
Hanson A,Mary A,Sibling
Harry A,Boatswain A,Child
Harry A,Lawrence A,Sibling
Harry A,Lily A,Sibling
Harry A,Matilda A,Child
Hellam A,George E,Child
Hellam A,Jenny D,Child
Hellam A,Jonathan A,Sibling
Hellam A,Lily A,Sibling
Henriette A,Alce C,Child
Henriette A,Charles Freeman,Child
Henriette A,Judy B,Sibling
Henriette A,Tom B,Sibling
Henriette A,Viner A,Sibling
Henry A,Polly B,Sibling
Henry A,Sall Brass,Child
Henry B,Letty B,Child
Heuky A,Agnes A,Child
Heuky A,Sambo A,Child
Isaac A,Kitty A,Spouse
